unified_id,source_file,type,price,area,bedrooms,bathrooms,city,region,address,level,furnished,rent,lat,lng
csv_Ad id 194321313,data.csv,duplex,73000.0,300.0,3,3,cairo,mokattam,,ground,yes,yes,30.033333,31.283333
csv_Ad id 194269435,data.csv,studio,15000.0,105.0,1,1,giza,6th of october,,highest,yes,yes,29.9723458,30.9409205
csv_Ad id 194266494,data.csv,apartment,12000.0,200.0,3,3,cairo,new cairo - el tagamoa,,1,no,yes,30.0628389,31.4459868
csv_Ad id 194325693,data.csv,apartment,8500.0,130.0,3,2,cairo,new cairo - el tagamoa,,2,yes,yes,30.0628389,31.4459868
csv_Ad id 192775003,data.csv,apartment,1200.0,180.0,3,2,cairo,new cairo - el tagamoa,,2,yes,yes,30.0628389,31.4459868
csv_Ad id 194281360,data.csv,apartment,5000.0,130.0,2,1,cairo,new cairo - el tagamoa,,3,no,yes,30.0628389,31.4459868
csv_Ad id 194337594,data.csv,apartment,8500.0,200.0,3,1,cairo,nasr city,,ground,no,yes,30.0521177,31.3422045
csv_Ad id 192108854,data.csv,apartment,3000.0,170.0,3,2,giza,hadayek al-ahram,,ground,,yes,,
csv_Ad id 194318105,data.csv,apartment,7000.0,160.0,3,2,cairo,new cairo - el tagamoa,,ground,no,yes,30.0628389,31.4459868
csv_Ad id 194114556,data.csv,apartment,3000.0,130.0,3,2,cairo,new cairo - el tagamoa,,2,no,yes,30.0628389,31.4459868
csv_Ad id 194232763,data.csv,apartment,15000.0,280.0,4,2,cairo,nasr city,,6,no,yes,30.0521177,31.3422045
csv_Ad id 194265773,data.csv,apartment,18000.0,134.0,3,2,giza,sheikh zayed,,3,no,yes,30.048347,30.9832235
csv_Ad id 194168189,data.csv,apartment,22000.0,266.0,3,3,giza,6th of october,,2,,yes,29.9723458,30.9409205
csv_Ad id 194298652,data.csv,duplex,23000.0,240.0,3,3,giza,sheikh zayed,,2,no,yes,30.048347,30.9832235
csv_Ad id 194298915,data.csv,apartment,12000.0,70.0,2,1,giza,sheikh zayed,,3,,yes,30.048347,30.9832235
csv_Ad id 194323453,data.csv,apartment,11000.0,200.0,2,2,alexandria,kafr abdo,,10,no,yes,31.2252991,29.9541965
csv_Ad id 194266361,data.csv,apartment,18000.0,108.0,3,1,cairo,rehab city,,2,yes,yes,30.063584,31.4889939
csv_Ad id 194239897,data.csv,apartment,10000.0,171.0,3,3,cairo,rehab city,,2,no,yes,30.063584,31.4889939
csv_Ad id 194168066,data.csv,apartment,22500.0,250.0,3,3,cairo,nasr city,,3,yes,yes,30.0521177,31.3422045
csv_Ad id 194315439,data.csv,apartment,15000.0,400.0,4,3,cairo,new cairo - el tagamoa,,2,,yes,30.0628389,31.4459868
csv_Ad id 194305318,data.csv,apartment,21000.0,208.0,3,3,cairo,new cairo - el tagamoa,,3,no,yes,30.0628389,31.4459868
csv_Ad id 194234345,data.csv,apartment,22500.0,210.0,3,3,cairo,new cairo - el tagamoa,,4,no,yes,30.0628389,31.4459868
csv_Ad id 194280827,data.csv,apartment,20000.0,330.0,3,3,cairo,new cairo - el tagamoa,,3,yes,yes,30.0628389,31.4459868
csv_Ad id 194058816,data.csv,apartment,14000.0,137.0,3,2,cairo,madinaty,,3,yes,yes,30.0917369,31.6380608
csv_Ad id 193911133,data.csv,apartment,30000.0,197.0,3,3,cairo,new cairo - el tagamoa,,2,yes,yes,30.0628389,31.4459868
csv_Ad id 194254521,data.csv,apartment,30000.0,133.0,2,2,cairo,new cairo - el tagamoa,,4,yes,yes,30.0628389,31.4459868
csv_Ad id 194236928,data.csv,apartment,10000.0,200.0,3,3,cairo,new cairo - el tagamoa,,ground,,yes,30.0628389,31.4459868
csv_Ad id 194305108,data.csv,apartment,4000.0,120.0,3,1,cairo,nasr city,,3,no,yes,30.0521177,31.3422045
csv_Ad id 194222408,data.csv,apartment,11000.0,150.0,3,2,cairo,new cairo - el tagamoa,,ground,yes,yes,30.0628389,31.4459868
csv_Ad id 194211880,data.csv,apartment,35000.0,390.0,4,4,cairo,heliopolis,,6,no,yes,30.1005985,31.3329136
csv_Ad id 194270527,data.csv,duplex,45000.0,253.0,4,3,cairo,new cairo - el tagamoa,,ground,yes,yes,30.0628389,31.4459868
csv_Ad id 194226863,data.csv,apartment,17000.0,148.0,2,3,cairo,new cairo - el tagamoa,,3,no,yes,30.0628389,31.4459868
csv_Ad id 194200889,data.csv,apartment,7000.0,170.0,3,2,alexandria,smoha,,3,no,yes,31.215679,29.9421807
csv_Ad id 187728009,data.csv,apartment,250.0,90.0,2,1,giza,tersa,,7,yes,yes,29.9625207,31.1980386
csv_Ad id 194302201,data.csv,apartment,27000.0,140.0,2,3,cairo,new cairo - el tagamoa,,2,yes,yes,30.0628389,31.4459868
csv_Ad id 194266245,data.csv,apartment,500.0,175.0,2,2,cairo,nasr city,,6,yes,yes,30.0521177,31.3422045
csv_Ad id 194265912,data.csv,apartment,8500.0,131.0,3,2,cairo,rehab city,,3,no,yes,30.063584,31.4889939
csv_Ad id 193812523,data.csv,apartment,1000.0,220.0,3,2,alexandria,stanley,,10+,yes,yes,31.234566,29.949826
csv_Ad id 194280581,data.csv,studio,15000.0,88.0,1,1,cairo,new cairo - el tagamoa,,2,,yes,30.0628389,31.4459868
csv_Ad id 194272217,data.csv,apartment,15000.0,160.0,3,2,cairo,new cairo - el tagamoa,,2,,yes,30.0628389,31.4459868
